FECHA,PLM2
2026-03-12,0
2026-03-20,6300
2026-03-26,1253
2026-04-06,620
2026-04-16,40
2026-04-23,0
2026-04-30,13
2026-05-08,0
2026-05-15,7
2026-05-20,7
2026-05-28,13
2026-06-04,0
2026-06-11,0
2026-06-19,7
2026-07-03,20
2026-07-14,0
2026-07-30,0
2026-08-15,0
