Inicio_exclusivo,Fecha,Dias_intervalo,Observado_PLM2,EE_repeticiones_PLM2,Sigma_ajuste_PLM2,Base_PLM2_ajuste,Calibrado_PLM2_ajuste,Fraccion_base_intervalo,Fraccion_calibrada_intervalo
2026-03-12,2026-03-20,8,6300.0,,630.0,4763.181680610711,6184.551407825435,0.5752634879964627,0.7469264985296419
2026-03-20,2026-03-26,6,1253.0,,630.0,1419.37629436429,1262.3822455147315,0.17142225777346498,0.15246162385443618
2026-03-26,2026-04-06,11,620.0,,630.0,604.9004692180011,362.12205590303626,0.07305561222439627,0.04373454781437636
2026-04-06,2026-04-16,10,40.0,,630.0,135.67763280230096,67.77033014296542,0.016386187536509778,0.00818482248103447
2026-04-16,2026-04-23,7,0.0,,630.0,378.26468064303214,163.70381039669823,0.04568414017427924,0.019770991593804133
2026-04-23,2026-04-30,7,13.0,,630.0,490.97363610544016,157.00214414734572,0.059296332862975865,0.018961611611998275
2026-04-30,2026-05-08,8,0.0,,630.0,86.878851754424,20.93643018546144,0.010492614946186474,0.0025285543702248114
2026-05-08,2026-05-15,7,7.0,,630.0,180.36542212004827,36.00902289207401,0.02178326354106863,0.0043489158082214985
2026-05-15,2026-05-20,5,7.0,,630.0,6.872115152587002,1.1527567119011728,0.0008299655981385268,0.0001392218251088373
2026-05-20,2026-05-28,8,13.0,,630.0,0.0,0.0,0.0,0.0
2026-05-28,2026-06-04,7,0.0,,630.0,0.0,0.0,0.0,0.0
2026-06-04,2026-06-11,7,0.0,,630.0,196.0665116355754,23.704345994378322,0.023679530390769976,0.0028628437191278167
2026-06-11,2026-06-19,8,7.0,,630.0,0.1989834394839063,0.010812995197748698,2.4031816362790615e-05,1.305917294414094e-06
2026-06-19,2026-07-03,14,20.0,,630.0,17.243722154106248,0.6546372907753994,0.0020825751393848124,7.906247473132844e-05
2026-07-03,2026-07-14,11,0.0,,630.0,0.0,0.0,0.0,0.0
2026-07-14,2026-07-30,16,0.0,,630.0,0.0,0.0,0.0,0.0
2026-07-30,2026-08-15,16,0.0,,630.0,0.0,0.0,0.0,0.0
